RestaurantID,RestaurantName,Address
1,Moyer Ltd,"536 Bowers Springs
Port Samantha, VA 17824"
2,Conrad Inc,"693 Cindy Fork
South Angelamouth, MT 17879"
3,Mcdaniel-Harrington,"08794 Aguilar Prairie
Harrisonberg, AS 90876"
4,Collins-Marquez,"24332 Jennifer Turnpike
North Ashley, WV 50108"
5,Moses-Moore,"80287 Lauren Mall Suite 652
South Carol, DE 49467"
6,Nguyen-Lopez,"28387 Chapman Squares Apt. 804
Melissaberg, DC 41282"
7,"Miller, Reynolds and Long","9303 Thomas Fall Apt. 821
West Robert, TN 97357"
8,Bell-Valencia,"183 Ballard Meadows Suite 688
Christinafurt, PR 52211"
9,"Green, Malone and Petersen","787 Anthony Pike Suite 329
East Diamondton, MI 46793"
10,Smith Inc,"6808 Corey Grove
Prestonhaven, IL 47021"
11,"Harvey, Baker and Jenkins","74632 Jill Stream Suite 089
South Allen, MN 45467"
12,King Ltd,"469 Reeves Lakes
Port Williamchester, MH 44287"
13,Robinson LLC,"70208 Jackson Plain
Johnsonland, IA 09857"
14,"Ryan, Alexander and Willis","6372 Brian Island
Aliciashire, ME 30343"
15,"Davidson, Lopez and Dunlap","9216 Lucas Run
East Matthew, NH 65611"
16,Parker-Clay,"1017 Paul Cove
North Stephenfort, NE 36271"
17,"Carter, Carson and Graham","1015 Dwayne Parkway Apt. 952
Riverafort, MH 01313"
18,Wallace LLC,"11244 Diaz Vista Apt. 764
West Jeffery, IL 42699"
19,"Moore, Martin and Ruiz","110 Walker Heights Suite 101
Hendrixbury, ID 64206"
20,Butler and Sons,"4353 Sarah Lodge Suite 435
South Derek, KS 90325"
