LocationID,LocationName,TrafficDensity
1,Penatown,10.45
2,Michaelburgh,73.65
3,North Marystad,52.19
4,Theodoreberg,36.96
5,East Paultown,65.36
6,South David,14.63
7,New Emilyborough,188.02
8,South Sandra,193.23
9,Adamsbury,18.21
10,Brendafort,164.32
11,Garciatown,33.82
12,Jeanetteberg,68.6
13,Lake Chadbury,25.83
14,Yangview,47.65
15,West Mary,49.12
16,Travismouth,45
17,Josephchester,150.81
18,Jeffreyberg,90.1
19,Comptonland,75.16
20,Port Mitchell,34.92
21,West Samuel,56.95
22,Jeffreyburgh,11.36
23,Newmanhaven,44.68
24,Gonzalesberg,10.93
25,Wilsonville,27.79
26,Aaronchester,74.37
27,New Lisaland,31.6
28,Youngville,75.98
29,East Anna,37.17
30,Martinberg,49.74
31,Wileyberg,78.63
32,New Ericville,19.88
33,Bobbyton,152.3
34,Moodymouth,76.87
35,Port Kellyfort,14.48
36,Mistyland,78.09
37,Lake Alisonshire,28.82
38,Kristyburgh,39.23
39,Nguyenton,39.12
40,Wangfort,167.35
41,Ashleybury,65.04
42,North Juliemouth,27.03
43,New Jeremy,57.38
44,Lake Christopherstad,65.59
45,South Patrick,69
46,Lake Joseph,26.79
47,Coopershire,23.34
48,New Daniel,42.33
49,South Benjamin,43.57
50,Patriciashire,35.5
51,East Anthonyton,34.46
52,Lake Teresa,61.22
53,Watkinsshire,78.55
54,North Joshuatown,10.9
55,Deborahburgh,155.52
56,Mathewsborough,162
57,South Anthonyhaven,194.22
58,Seanview,193.74
59,West Dillonmouth,38.48
60,Watsonview,38.05
61,Franciscoborough,41.08
62,Stephanieport,12.65
63,Bakermouth,70.57
64,Simpsonshire,185.27
65,New David,166.08
66,Ramirezstad,151.2
67,Pageport,159.08
68,West Alexanderland,32.59
69,Carrieland,30.72
70,Lorrainefurt,72.04
71,East Georgeside,65.65
72,Fuenteshaven,23.5
73,Parsonsberg,73.37
74,Port Ashley,48.37
75,Crawfordchester,31.23
76,New Ashlee,19.11
77,Davisborough,75.92
78,North Janicechester,14.61
79,Underwoodshire,163.09
80,West Jason,1.94
81,Port Sheilaport,163.95
82,West Katie,20.46
83,West Paul,64.9
84,East Michellehaven,51.37
85,Breannamouth,59.93
86,Pattersonville,31.85
87,Evansland,23.89
88,Jenniferview,180.17
89,Lake Mary,158.36
90,New Melissaville,176.95
91,Anthonyshire,192.11
92,East Erinchester,52.06
93,Vincentfurt,54.68
94,East Lesliefurt,29.32
95,Nancychester,79.31
96,Whiteshire,30.59
97,Gonzalezville,35.02
98,Hollandshire,37.01
99,Kingbury,76.5
100,Cookland,52.75
